TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,37.9,30.9,76,30.17,10,Calm,Calm,-,N/A,,Clear,0,1/13/2014 5:51
1:51 AM,-9999,30,79,30.17,10,South,3.5,-,N/A,,Clear,170,1/13/2014 6:51
2:51 AM,36,30,79,30.16,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/13/2014 7:51
3:51 AM,36,30.9,82,30.16,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/13/2014 8:51
4:51 AM,35.1,30.9,85,30.16,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/13/2014 9:51
5:51 AM,35.1,30,82,30.15,10,Calm,Calm,-,N/A,,Clear,0,1/13/2014 10:51
6:51 AM,37,30.9,79,30.17,10,Calm,Calm,-,N/A,,Clear,0,1/13/2014 11:51
7:51 AM,37.9,30.9,76,30.17,10,SSW,5.8,-,N/A,,Partly Cloudy,200,1/13/2014 12:51
8:51 AM,43,34,71,30.18,10,SW,5.8,-,N/A,,Partly Cloudy,220,1/13/2014 13:51
9:51 AM,51.1,36,56,30.17,10,SSW,8.1,-,N/A,,Scattered Clouds,210,1/13/2014 14:51
10:51 AM,55,36,49,30.16,10,SW,12.7,-,N/A,,Scattered Clouds,220,1/13/2014 15:51
11:51 AM,57.9,37,46,30.12,10,SSW,12.7,21.9,N/A,,Mostly Cloudy,200,1/13/2014 16:51
12:51 PM,59,35.1,41,30.08,10,SSW,18.4,24.2,N/A,,Mostly Cloudy,210,1/13/2014 17:51
1:51 PM,61,35.1,38,30.05,10,SSW,12.7,-,N/A,,Mostly Cloudy,200,1/13/2014 18:51
2:51 PM,60.1,35.1,39,30.05,10,SW,16.1,25.3,N/A,,Mostly Cloudy,220,1/13/2014 19:51
3:51 PM,57.9,35.1,42,30.05,10,SSW,16.1,-,N/A,,Mostly Cloudy,210,1/13/2014 20:51
4:51 PM,55.9,36,47,30.02,10,South,11.5,-,N/A,,Mostly Cloudy,190,1/13/2014 21:51
5:51 PM,54,35.1,49,30.01,10,South,6.9,-,N/A,,Mostly Cloudy,190,1/13/2014 22:51
6:51 PM,54,35.1,49,30.02,10,South,4.6,-,N/A,,Overcast,180,1/13/2014 23:51
7:51 PM,54,37,53,30.02,10,SSW,8.1,-,N/A,,Overcast,210,1/14/2014 0:51
8:51 PM,54,37.9,55,30.01,10,SSW,9.2,-,N/A,,Overcast,200,1/14/2014 1:51
9:51 PM,53.1,39,59,30,10,South,5.8,-,N/A,,Overcast,190,1/14/2014 2:51
10:51 PM,53.1,39,59,29.98,10,South,5.8,-,N/A,,Overcast,180,1/14/2014 3:51
11:51 PM,53.1,39.9,61,29.97,10,SSW,8.1,-,N/A,,Overcast,200,1/14/2014 4:51
